LocationName,LocationType
Quench,Bar
Ring Lounge,Bar
For The Table,Bar
Lucky Spot,Bar
Drunken Doozy,Bar
Brothers’ Bar,Bar
Fine Bar,Bar
Red Lounge,Bar
Marvelous Mugs,Bar
Far Bar,Bar
Wave Bar,Bar
Table Toast,Bar
Real Club,Bar
The In Zone Bar,Bar
Double Draft,Bar
Make A Toast,Bar
Now Lounge,Bar
Top Notch Toast,Bar
The Box Lounge,Bar
Happy Hours,Bar
Double Dip,Bar
Warm Welcome,Bar
Night Bar,Bar
Tabletopper,Bar
Zoo Bar,Bar
Animal Bar,Bar
Next Round,Bar
Good Bar,Bar
Cook's Club,Bar
Secret Spot,Bar
Grateful Gathering,Bar
Progress Bar,Bar
Sunshine Saloon,Bar
Love Lounge,Bar
Luxe Lounge,Bar
Tipsy Table,Bar
Supreme Saloon,Bar
Hair Of The Dog,Bar
Charm Bar,Bar
Lunar Saloon,Bar
Sal's Saloon,Bar
All Brothers,Bar
Sip And Savor,Bar
Black Bar,Bar
Drink,Bar
Life Lounge,Bar
Well Drafted,Bar
Music Lounge,Bar
Brotherhood Bar,Bar
Something Shared,Bar
Barry's Bar,Bar
Draft Room,Bar
Double Up Drafts,Bar
Bravo Bar,Bar
Loony Saloon,Bar
Rocket Bar,Bar
Humble House,Bar
Drink And Delight,Bar
Top Tabs,Bar
No Holds Barred,Bar
Modern Lounge,Bar
Corner Crafts,Bar
Sacred Saloon,Bar
Boogie Bar,Bar
Loud Lounge,Bar
Fantasy Bar,Bar
Need Bar,Bar
Star Bar,Bar
Tipsy Tales,Bar
First Round,Bar
Friends Bar,Bar
Leather Lounge,Bar
Craft Corner,Bar
Naughty Bar,Bar
Dose Of Draft,Bar
Draft Depot,Bar
Starting Pitcher,Bar
Lemon Lounge,Bar
Future Bar,Bar
Welcome Wagon,Bar
Castle Club,Bar
The Contemporary Club,Bar
Space Bar,Bar
Counter Club,Bar
The Kitchen Club,Bar
Pitcher Perfect,Bar
Cosmo Bar,Bar
Living Lounge,Bar
Raise A Glass,Bar
Freed Bar,Bar
Sidewalk Lounge,Bar
Drafting Table,Bar
The Honor Lounge,Bar
Bar None,Bar
A Bar Above,Bar
Mars Bar,Bar
Yeah Lounge,Bar
Hell Club,Bar
Tumbleweed Ranch,House
Prairie Acres,House
Wildflower Fields,House
Lone Oak Ranch,House
Crown Meadow Farmstead,House
Happy Horse Range,House
Sweet Dreams Farmstead,House
Deer Hill Grange,House
Meadowbrooke Ranch,House
Whitewater Meadow,House
Pleasant View Ranch,House
Silver Tree Farmstead,House
Rainbow Hill Range,House
Grizzly Bear Ranch,House
Eagle's Nest Acres,House
Rooster Fields,House
Whispering Willow Acres,House
Mossy Pine Pastures,House
New Hope Ranch,House
Angry Beaver Acres,House
Riverrock Meadow,House
Heartsong Grange,House
Dandelion Acres,House
Blue Moon Farmstead,House
Maplewood Estate,House
New Morning Ranch,House
Grumpy Llama Grange,House
White Willow Estate,House
Oakey Dokey Acres,House
Bearded Goat Range,House
Haxelwood Homestead,House
Black Sheep Bungalow,House
Red Dog Ranch,House
Mountain Ridge Meadow,House
Furball Estate,House
Sleepy Hollow,House
Little Wolf Pastures,House
Sycamore Estate,House
Small Paws Farmstead,House
Crooked Kitten Acres,House
